SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,75 Tobin Clark Dr,Hillsborough,CA,94010,4725500,4,3.5,Hillsborough,3720,25200,1978,81,1270,,Active,,,https://www.redfin.com/CA/Hillsborough/75-Tobin-Clark-Dr-94010/home/1200457,CRMLS,IV23006272,N,Y,37.5442107,-122.33471
MLS Listing,,Vacant Land,29831 Clearbrook Cir,Hayward,CA,94544,4900000,,,Hayward,,269909,,81,,,Active,,,https://www.redfin.com/CA/Hayward/29831-Clearbrook-Cir-94544/home/1685596,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41017179,N,Y,37.6309363,-122.0395733
MLS Listing,,Single Family Residential,10 Percheron Pl,Hillsborough,CA,94010,5288000,4,3.0,HILLSBOROUGH,2990,27878,1972,82,1769,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Hillsborough/10-Percheron-Pl-94010/home/2057883,MLSListings,ML81916302,N,Y,37.548007,-122.3353078
MLS Listing,,Condo/Co-op,1998 Montecito Ave,Mountain View,CA,94043,1718000,3,3.0,MOUNTAIN VIEW,1355,,2023,85,1268,441,Active,April-9-2023 02:00 PM,April-9-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/1998-Montecito-Ave-94043/home/611290,MLSListings,ML81916214,N,Y,37.4062409,-122.092865
MLS Listing,,Single Family Residential,3202 Maddux Dr,Palo Alto,CA,94303,6288000,7,6.0,PALO ALTO,3950,8862,2023,85,1592,,Active,,,https://www.redfin.com/CA/Palo-Alto/3202-Maddux-Dr-94303/home/812840,MLSListings,ML81916184,N,Y,37.4362793,-122.1143874
MLS Listing,,Single Family Residential,728 Tolman Dr,Stanford,CA,94305,2988000,5,3.0,STANFORD,2979,13909,1970,86,1003,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/728-Tolman-Dr-94305/home/1651862,MLSListings,ML81916069,N,Y,37.4140358,-122.1546914
MLS Listing,,Single Family Residential,1285 Curtiss Ave,San Jose,CA,95125,3578888,5,4.5,SAN JOSE,3999,9470,2019,87,895,,Active,,,https://www.redfin.com/CA/San-Jose/1285-Curtiss-Ave-95125/home/838689,MLSListings,ML81916000,N,Y,37.3075809,-121.8950598
MLS Listing,,Single Family Residential,50 Amador Ave,Atherton,CA,94027,8498000,5,4.0,ATHERTON,3640,33900,1928,88,2335,,Active,,,https://www.redfin.com/CA/Atherton/50-Amador-Ave-94027/home/2014934,MLSListings,ML81915873,N,Y,37.4545554,-122.2149642
MLS Listing,,Single Family Residential,711 Hayne Rd,Hillsborough,CA,94010,6888000,5,5.5,HILLSBOROUGH,5955,37897,1938,89,1157,,Active,,,https://www.redfin.com/CA/Hillsborough/711-Hayne-Rd-94010/home/1869768,MLSListings,ML81915841,N,Y,37.5575293,-122.3451565
MLS Listing,,Single Family Residential,234 Albion Ave,Woodside,CA,94062,17800000,7,7.5,WOODSIDE,11490,144314,1935,89,1549,,Active,,,https://www.redfin.com/CA/Woodside/234-Albion-Ave-94062/home/1898699,MLSListings,ML81915820,N,Y,37.4300878,-122.2632397
MLS Listing,,Single Family Residential,0 Fillmore St,Santa Clara,CA,95054,1298900,4,4.5,SANTA CLARA,3500,9375,2023,89,371,,Active,,,https://www.redfin.com/CA/Santa-Clara/Fillmore-St-95054/home/161021928,MLSListings,ML81915818,N,Y,37.395895,-121.963977
MLS Listing,,Single Family Residential,2779 Aldworth Dr,San Jose,CA,95148,2188888,5,2.5,SAN JOSE,2243,9175,1979,93,976,,Active,April-8-2023 01:00 PM,April-8-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/2779-Aldworth-Dr-95148/home/718391,MLSListings,ML81915581,N,Y,37.3341018,-121.786389
MLS Listing,,Single Family Residential,233 Park Ln,Atherton,CA,94027,49900000,6,9.5,ATHERTON,14215,56700,2022,93,3510,,Active,,,https://www.redfin.com/CA/Atherton/233-Park-Ln-94027/home/885482,MLSListings,ML81914113,N,Y,37.4455765,-122.2017972
MLS Listing,,Vacant Land,0 Mission Rd,Sunol,CA,94586,6000000,,,Sunol Valley,,8272000,,97,,,Active,,,https://www.redfin.com/CA/Sunol/0-MISSION-RD-94586/home/183052105,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41016254,N,Y,37.5867626,-121.8334868
MLS Listing,,Vacant Land,11401 Clayton Rd,San Jose,CA,95127,580000,,,San Jose,,58806,,97,,,Active,,,https://www.redfin.com/CA/San-Jose/11401-Clayton-Rd-95127/home/23471371,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41016249,N,Y,37.354883,-121.7921273
MLS Listing,,Single Family Residential,16000 GLEN UNA Dr,Los Gatos,CA,95030,4488000,3,3.0,LOS GATOS,3918,121320,1974,110,1145,,Active,,,https://www.redfin.com/CA/Los-Gatos/16000-Glen-Una-Dr-95030/home/112191911,MLSListings,ML81915057,N,Y,37.2363681,-122.0223661
MLS Listing,,Single Family Residential,4711 Robin Ct,Fremont,CA,94538,1649888,3,2.0,Morrison Meadows,1452,11780,1963,111,1136,,Active,,,https://www.redfin.com/CA/Fremont/4711-Robin-Ct-94538/home/1697999,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41015301,N,Y,37.5240648,-121.9698618
MLS Listing,,Single Family Residential,3370 Little Valley Rd,Sunol,CA,94586,4249000,6,6.5,Little Valley,5581,314503,2004,118,761,115,Active,,,https://www.redfin.com/CA/Sunol/3370-Little-Valley-Rd-94586/home/17187445,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41015593,N,Y,37.6196352,-121.8523915
MLS Listing,,Multi-Family (2-4 Unit),2067 La Con Ct,Campbell,CA,95008,2950000,9,8.0,CAMPBELL,4675,9643,1970,121,631,,Active,,,https://www.redfin.com/CA/San-Jose/2067-La-Con-Ct-95124/home/825610,MLSListings,ML81914540,N,Y,37.277835,-121.93292
MLS Listing,,Single Family Residential,930 Dry Creek Rd,San Jose,CA,95124,3775000,4,4.0,SAN JOSE,4399,20728,1938,121,858,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/930-Dry-Creek-Rd-95124/home/665425,MLSListings,ML81914236,N,Y,37.2788517,-121.933645
MLS Listing,,Single Family Residential,14470 Sobey Rd,Saratoga,CA,95070,3750000,3,2.0,SARATOGA,1548,40946,1952,122,2422,,Active,,,https://www.redfin.com/CA/Saratoga/14470-Sobey-Rd-95070/home/1674564,MLSListings,ML81914434,N,Y,37.2578796,-121.9996929
MLS Listing,,Single Family Residential,4602 Hill Top View Ln,San Jose,CA,95138,4050000,5,4.5,SAN JOSE,4639,11314,2003,126,873,180,Active,,,https://www.redfin.com/CA/San-Jose/4602-Hill-Top-View-Ln-95138/home/1093798,MLSListings,ML81914221,N,Y,37.2883416,-121.7958013
MLS Listing,,Single Family Residential,1101 Black Mountain Rd,Hillsborough,CA,94010,4390000,5,4.5,HILLSBOROUGH,4410,16450,1931,127,995,,Active,,,https://www.redfin.com/CA/Hillsborough/1101-Black-Mountain-Rd-94010/home/12226425,MLSListings,ML81898890,N,Y,37.5505207,-122.351513
MLS Listing,,Single Family Residential,132 San Ramon Dr,San Jose,CA,95111,1899000,6,3.0,SAN JOSE,4336,32513,1973,136,438,,Active,,,https://www.redfin.com/CA/San-Jose/132-San-Ramon-Dr-95111/home/739024,MLSListings,ML81913611,N,Y,37.2769822,-121.8307732
MLS Listing,,Single Family Residential,2189 Webster St,Palo Alto,CA,94301,8980000,6,7.0,PALO ALTO,5347,8568,2020,138,1679,,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/2189-Webster-St-94301/home/590235,MLSListings,ML81913201,N,Y,37.4364031,-122.136725
MLS Listing,,Single Family Residential,21518 Saratoga Heights Dr,Saratoga,CA,95070,4750000,5,5.0,SARATOGA,5085,44431,1990,141,934,44,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Saratoga/21518-Saratoga-Heights-Dr-95070/home/1181890,MLSListings,ML81913386,N,Y,37.2579593,-122.0515612
MLS Listing,,Single Family Residential,3559 Mount Pleasant Ct,San Jose,CA,95148,1600000,6,4.0,Alum Rock,2809,8228,1970,145,570,,Active,,,https://www.redfin.com/CA/San-Jose/3559-Mount-Pleasant-Ct-95148/home/1481789,BAREIS,322098890,N,Y,37.3521634,-121.798182
MLS Listing,,Multi-Family (5+ Unit),143 N 8th St,San Jose,CA,95112,3050000,18,9.0,SAN JOSE,7167,9547,1961,150,426,,Active,,,https://www.redfin.com/CA/San-Jose/143-N-8th-St-95112/home/873054,MLSListings,ML81912638,N,Y,37.3416849,-121.8849446
MLS Listing,,Single Family Residential,15858 Rica Vista Way,San Jose,CA,95127,2988000,6,5.5,SAN JOSE,5124,16470,2008,152,583,,Active,,,https://www.redfin.com/CA/San-Jose/15858-Rica-Vista-Way-95127/home/12177292,MLSListings,ML81909578,N,Y,37.3828222,-121.805591
MLS Listing,,Single Family Residential,12874 Viscaino Rd,Los Altos Hills,CA,94022,10888000,6,6.5,LOS ALTOS HILLS,5400,79174,2022,156,2016,,Active,April-8-2023 02:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/Los-Altos-Hills/12874-Viscaino-Rd-94022/home/1009418,MLSListings,ML81912135,N,Y,37.3790493,-122.145477
MLS Listing,,Single Family Residential,349 Walsh Rd,Atherton,CA,94027,32500000,5,7.0,ATHERTON,11359,44431,2022,161,2861,,Active,,,https://www.redfin.com/CA/Atherton/349-Walsh-Rd-94027/home/1061461,MLSListings,ML81911822,N,Y,37.4342678,-122.216172
MLS Listing,,Vacant Land,20860 McClellan Rd,Cupertino,CA,95014-0100,12000000,,,Cupertino,,55321,,163,,33,Active,,,https://www.redfin.com/CA/Cupertino/20860-McClellan-Rd-95014/home/1659016,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41012815,N,Y,37.3154034,-122.03898
